path,title,h1,status,owner,audience,source_of_truth,last_reviewed,review_interval_days,line_count,byte_count,risky_terms,broken_local_links,has_front_matter
audits/roadmaps/LEAD_DEVELOPER_TECHNICAL_ROADMAP_2026-05-18.md,EduBoost V2 Lead Developer Technical Roadmap,EduBoost V2 Lead Developer Technical Roadmap,,,,,,,450,18838,production-ready,0,False
audits/roadmaps/Model_Training_Execution_Plan.md,Model Training Execution Plan,Model Training Execution Plan,,,,,,,277,9168,,0,False
audits/roadmaps/Production_Grade_Roadmap.md,EduBoost SA Production Grade Roadmap,EduBoost SA Production Grade Roadmap,,,,,,,734,22745,production-ready,0,False
audits/roadmaps/Production_Roadmap_Issue_Tracker.md,EduBoost SA Production Roadmap Issue Tracker,EduBoost SA Production Roadmap Issue Tracker,,,,,,,283,15344,,0,False
audits/roadmaps/Production_Roadmap_Phased_Checklist.md,EduBoost SA Production Roadmap Phased Checklist,EduBoost SA Production Roadmap Phased Checklist,,,,,,,328,15706,,0,False
audits/roadmaps/System_Status_Roadmap.md,EduBoost SA — System Status Roadmap,EduBoost SA — System Status Roadmap,,,,,,,66,3346,,0,False
audits/roadmaps/V2_Active_RoadMap.md,,,,,,,,,129,26294,,0,False
audits/roadmaps/V2_Execution_Roadmap.md,EduBoost V2 — Execution Roadmap,EduBoost V2 — Execution Roadmap,,,,,,,48,2073,,0,False
audits/roadmaps/V2_Outstanding_Task_Roadmap.md,EduBoost V2 — Completion Roadmap,EduBoost V2 — Completion Roadmap,,,,,,,54,2474,,0,False
audits/roadmaps/V2_Outstanding_Task_Roadmap_update.md,V2 Outstanding Task Roadmap — Update Patch,V2 Outstanding Task Roadmap — Update Patch,,,,,,,41,1713,,0,False
audits/security/dependency_scanning_validation_20260527.md,Phase 1 — T143 — Dependency Vulnerability Scanning Validation,Phase 1 — T143 — Dependency Vulnerability Scanning Validation,,,,,,,136,3721,,0,False
audits/security/jwt_review_20260527.md,Phase 1 — T104 — JWT Security Review,Phase 1 — T104 — JWT Security Review,,,,,,,280,11042,,0,False
audits/security/pen_test_checklist.md,EduBoost V2 — Security Penetration Test Runbook & Checklist,EduBoost V2 — Security Penetration Test Runbook & Checklist,,,,,,,169,5760,,0,False
audits/security/router_auth_audit_20260527.md,Phase 1 — T103 — Router Placeholder Auth Audit,Phase 1 — T103 — Router Placeholder Auth Audit,,,,,,,199,7462,,0,False
audits/security/secret_scanning_validation_20260527.md,Phase 1 — T142 — Secret Scanning Validation,Phase 1 — T142 — Secret Scanning Validation,,,,,,,82,2135,,0,False
audits/storage_orm_key_mapping_verification.md,Storage Layer: ORM Key Mapping Verification,Storage Layer: ORM Key Mapping Verification,,,,,,,200,7531,,2,False
docs/AI_AGENT_SKILLS_MANIFEST.md,EduBoost SA: AI Agent System Prompt & Skills Manifest,EduBoost SA: AI Agent System Prompt & Skills Manifest,,,,,,,83,7772,,0,False
docs/API_REFERENCE.md,API Reference,API Reference,,,,,,,595,11510,,0,False
docs/Azure_Migration_Guide.md,EduBoost SA — Azure Migration Guide (Dev/Test),EduBoost SA — Azure Migration Guide (Dev/Test),,,,,,,82,2365,,0,False
docs/DEVELOPMENT.md,Development Guide,Development Guide,,,,,,,85,1547,,0,False
docs/DOC/README.md,Archived documentation redirect,Archived documentation redirect,archived,documentation-governance,reviewer,False,2026-06-22,180,25,812,,0,True
docs/LLM_Phase3_Finetuning.md,LLM Phase 3 Fine-Tuning Runbook,LLM Phase 3 Fine-Tuning Runbook,,,,,,,180,5595,,0,False
docs/LLM_Test_Gating.md,,,,,,,,,18,682,,0,False
docs/POPIA_COMPLIANCE.md,POPIA Compliance Guide,POPIA Compliance Guide,,,,,,,302,11841,,0,False
docs/README.md,EduBoost Documentation Index,EduBoost Documentation Index,active,documentation-governance,developer,True,2026-06-22,30,51,2607,,0,True
docs/adr/0001-modular-monolith.md,ADR 0001: Modular Monolith Architecture,ADR 0001: Modular Monolith Architecture,,,,,,,20,765,,0,False
docs/adr/0002-popia-first-design.md,ADR 0002: POPIA-First Design,ADR 0002: POPIA-First Design,,,,,,,22,1112,,0,False
docs/adr/0003-llm-provider-abstraction.md,ADR 0003: LLM Provider Abstraction,ADR 0003: LLM Provider Abstraction,,,,,,,22,1096,,0,False
docs/adr/0004-standardizing-logic.md,ADR 0004: Standardizing Business Logic Location and Naming,ADR 0004: Standardizing Business Logic Location and Naming,,,,,,,21,1100,,0,False
docs/adr/0005-fastapi-v2-entrypoint.md,ADR 0005: FastAPI V2 Entrypoint,ADR 0005: FastAPI V2 Entrypoint,,,,,,,16,662,,0,False
docs/adr/0006-nextjs-frontend.md,ADR 0006: Next.js Frontend,ADR 0006: Next.js Frontend,,,,,,,20,851,,0,False
docs/adr/0007-postgresql-audit-ledger.md,ADR 0007: PostgreSQL Audit Ledger,ADR 0007: PostgreSQL Audit Ledger,,,,,,,23,993,,0,False
docs/adr/0008-redis-token-revocation.md,ADR 0008: Redis Token Revocation,ADR 0008: Redis Token Revocation,,,,,,,23,895,,0,False
docs/adr/0009-caps-alignment.md,ADR 0009: CAPS Alignment,ADR 0009: CAPS Alignment,,,,,,,23,988,,0,False
docs/adr/0010-business-logic-location.md,ADR 0010 — Business Logic Location,ADR 0010 — Business Logic Location,,,,,,,74,2837,,0,False
docs/adr/ADR-001-python-runtime-version.md,ADR-001 — Supported Python Runtime Version,ADR-001 — Supported Python Runtime Version,,,,,,,124,4313,,0,False
docs/adr/ADR-002-startup-ddl-repair.md,ADR-002 — Startup DDL Repair in `app/api_v2.py`,ADR-002 — Startup DDL Repair in `app/api_v2.py`,,,,,,,155,7931,,0,False
docs/adr/ADR-003-deployment-targets.md,ADR-003 — Deployment Targets and Promotion Model,ADR-003 — Deployment Targets and Promotion Model,,,,,,,189,5647,,0,False
docs/adr/ADR-004-popia-data-rights-service-authority.md,ADR-004: POPIA Data Rights Service Authority,ADR-004: POPIA Data Rights Service Authority,,,,,,,83,3104,,0,False
docs/adr/ADR-005-database-rollback-policy.md,ADR-005 — Database Rollback Policy,ADR-005 — Database Rollback Policy,,,,,,,89,3311,,0,False
docs/adr/ADR-009-billing-provider.md,ADR-009: Billing Provider Decision,ADR-009: Billing Provider Decision,,,,,,,27,1075,,0,False
docs/adr/ADR-010-notifications-communication-provider.md,ADR-010: Notifications and Communication Provider Decision,ADR-010: Notifications and Communication Provider Decision,,,,,,,31,1249,,0,False
docs/adr/ADR-011-observability-stack.md,ADR-011: Observability Stack Decision,ADR-011: Observability Stack Decision,,,,,,,31,1154,,0,False
docs/adr/ADR-012-ci-cd-infrastructure-deployment.md,"ADR-012: CI/CD, Infrastructure, Deployment, Docker, and Environment Decision","ADR-012: CI/CD, Infrastructure, Deployment, Docker, and Environment Decision",,,,,,,31,1179,,0,False
docs/adr/ADR-013-backup-restore-disaster-recovery.md,"ADR-013: Backup, Restore, and Disaster Recovery Decision","ADR-013: Backup, Restore, and Disaster Recovery Decision",,,,,,,31,1290,,0,False
docs/adr/ADR-014-testing-release-evidence-quality-gates.md,"ADR-014: Testing, Release Evidence, and Quality Gates Decision","ADR-014: Testing, Release Evidence, and Quality Gates Decision",,,,,,,33,1277,,0,False
docs/adr/ADR-015-security-posture-threat-modeling.md,ADR-015: Security Posture and Threat Modeling Decision,ADR-015: Security Posture and Threat Modeling Decision,,,,,,,32,1339,,0,False
docs/adr/ADR-016-incident-response-operations-support.md,"ADR-016: Incident Response, Operations, and Support Decision","ADR-016: Incident Response, Operations, and Support Decision",,,,,,,31,1184,,0,False
docs/adr/ADR-017-documentation-adrs-claim-discipline.md,"ADR-017: Documentation, ADRs, and Claim Discipline","ADR-017: Documentation, ADRs, and Claim Discipline",,,,,,,27,1347,,0,False
docs/adr/ADR-018-beta-launch-staging-acceptance-product-scope.md,"ADR-018: Beta Launch, Staging Acceptance, and Product Scope","ADR-018: Beta Launch, Staging Acceptance, and Product Scope",,,,,,,28,1022,,0,False
